영업중,인허가일자_년도,인허가일자_월,인허가일자_일,지역,영업상태구분코드,상세영업상태코드,시설면적,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부
0, 1999, 12, 03,광주광역시 북구,4,31,200.57,10,3,N,N,N,Y,N,N
0, 2003, 01, 28,경상북도 안동시,4,31,122.3,6,4,N,Y,Y,N,Y,Y
0, 2001, 01, 30,충청남도 공주시,4,31,140.53,7,2,Y,Y,Y,Y,Y,Y
0, 2005, 07, 29,충청남도 아산시,4,31,164.47,6,4,Y,Y,Y,N,Y,Y
0, 2005, 05, 20,충청남도 서산시,4,31,136.16,6,6,Y,Y,N,Y,Y,Y
0, 1997, 05, 13,서울특별시 강북구,4,31,147.5,5,1,N,N,N,Y,N,N
0, 2001, 02, 20,서울특별시 강북구,4,31,45.97,4,4,N,N,N,N,N,N
0, 1997, 11, 29,서울특별시 강북구,4,31,128.7,10,4,N,N,N,N,N,N
0, 2002, 07, 22,서울특별시 노원구,4,31,156.79,10,4,N,N,N,N,N,N
0, 2001, 06, 12,서울특별시 영등포구,4,31,99.0,8,0,N,N,N,N,N,N
0, 1999, 09, 10,서울특별시 중구,4,31,156.79,10,0,N,N,N,N,N,N
0, 2010, 11, 05,서울특별시 은평구,4,31,133.41,5,1,N,N,N,Y,N,N
0, 2006, 05, 03,서울특별시 중구,4,31,128.93,6,2,N,N,N,N,N,N
0, 2005, 01, 11,서울특별시 양천구,4,31,143.0,8,1,N,N,N,Y,N,N
0, 2010, 11, 01,서울특별시 송파구,4,31,122.1,5,4,N,N,N,Y,N,N
0, 2011, 12, 01,서울특별시 서초구,4,31,219.35,10,4,N,N,N,N,N,N
0, 2002, 08, 20,서울특별시 서초구,4,31,99.17,10,4,N,N,N,N,N,N
0, 2006, 05, 02,서울특별시 양천구,4,31,149.9,10,4,N,N,N,N,N,N
0, 2002, 09, 12,서울특별시 서초구,4,31,99.0,5,1,Y,Y,N,Y,N,Y
0, 2002, 01, 29,서울특별시 서대문구,4,31,156.79,10,4,N,N,N,N,N,N
0, 2004, 11, 02,서울특별시 용산구,4,31,72.0,10,4,N,N,N,N,N,N
0, 2001, 05, 14,서울특별시 양천구,4,31,169.25,7,2,N,N,N,Y,N,N
0, 2003, 10, 24,서울특별시 서초구,4,31,175.38,7,2,N,N,N,Y,N,N
0, 2011, 04, 08,서울특별시 송파구,4,31,123.34,5,4,N,N,N,N,N,N
0, 2003, 01, 02,서울특별시 은평구,4,31,103.47,6,5,N,N,N,Y,N,N
