공사명,공사규모,면적_연면적,면적_대지면적,면적_건축면적,면적_조경면적,면적_건폐율,면적_용적률,높이_기준층층고,높이_최고높이,주차대수,현장위치,발주년월,공사기간,건축법상용도,연면적,*총공사비,㎡당 공사비,설계특이사항
서남권 스마트선박안전지원센터 건립공사,철근콘크리트조 지하 0층~지상 2층.,"2,775.97㎡","7,900㎡","1,709.14㎡","1,424.73㎡",21.63%,35.14%,4.2m,21m,69대,전라남도 목포시,2021.11,착공일로부터 427 일,업무시설,"2,775.97 ㎡","8,550,082,000 원","3,080,034 원/㎡",
인천권 스마트선박안전지원센터 건립공사,철근콘크리트조 지하 0층~지상 2층.,"2,666.24㎡","7,115.9㎡","1,710.86㎡","1,076.62㎡",24.04%,37.47%,4.2m,21m,45대,인천광역시 중구,2021.11,착공일로부터 427 일,업무시설,"2,666.24 ㎡","8,260,159,910 원","3,098,056 원/㎡",
종암경찰서 신축공사,철골철근콘크리트조 지하 2층~지상 5층.,"14,188.58㎡","4,959㎡","2,153.22㎡",886.14㎡,43.42%,171.05%,0m,0m,114대,서울특별시 성북구,2021.11,착공일로부터 720 일,업무시설중 공공업무시설,"14,188.58 ㎡","35,871,709,842 원","2,528,210 원/㎡",
한전KDN 서울지역본부 사옥 신축 건축공사,철근콘크리트조 지하 4층~지상 12층.,"13,514.35㎡","2,006㎡","1,184.48㎡",318.69㎡,59.05%,388.11%,4.2m,60.3m,94대,서울특별시 강동구,2021.11,착공일로부터 867 일,"일반업무시설, 제1종근린생활시설","13,514.35 ㎡","40,144,508,020 원","2,970,510 원/㎡","대지여건으로 인한 역타공법 적용, 외장 BIPV 사용"
인천지방법원 별관 증축 및 주차타워 설치 공사,철근콘크리트조 지하 1층~지상 5층.,"12,295.4㎡","27,784㎡","1,929.81㎡","6,472.33㎡",6.95%,39.65%,4.5m,27.85m,564대,인천광역시 미추홀구,2021.10,착공일로부터 760 일,"업무시설(공공업무시설), 노유자시설(아동관련시설)","12,295.4 ㎡","26,416,284,694 원","2,148,469 원/㎡","별관 : 연면적 8,079.2㎡, 지하1층~지상5층, 철근콘크리트조
주차타워 : 연면적 4,216.2㎡, 지상3층 4단, 철골조"
김포시의회 청사 건립공사,철골철근콘크리트조 지하 2층~지상 4층.,"6,230.31㎡","28,802.1㎡","1,174.06㎡",300.86㎡,4.08%,12.14%,5.4m,21.3m,73대,경기도 김포시,2021.10,착공일로부터 630 일,업무시설,"6,230.31 ㎡","17,816,524,029 원","2,859,653 원/㎡",
서울특별시교육청 신청사 건립 공사,철근콘크리트조 지하 3층~지상 6층.,"39,937㎡","13,214.2㎡","6,629.52㎡","3,973.1㎡",50.17%,159.75%,4m,36.35m,255대,서울특별시 용산구,2021.10,착공일로부터 974 일,업무시설(공공업무시설),"39,937 ㎡","133,393,576,514 원","3,340,100 원/㎡","내부 중정형 아트리움(1층~6층 중앙부 오픈), 외부 AL 수직루버"
무안군 보건소 이전신축 공사,철근콘크리트조 지하 2층~지상 4층.,"11,154.59㎡","4,412.98㎡","1,742.07㎡","1,032.43㎡",39.48%,98.13%,3.9m,19.8m,169대,전라남도 무안군,2021.08,착공일로부터 365 일,업무시설(공공업무시설),"11,154.59 ㎡","24,350,830,281 원","2,183,032 원/㎡",
동탄9동 행정복지센터 건립공사,철근콘크리트조 지하 1층~지상 3층.,"8,436.12㎡","8,662㎡","3,764.4㎡","2,344.5㎡",43.46%,89.58%,4.8m,15.9m,143대,경기도 화성시,2021.08,착공일로부터 425 일,업무시설(공공업무시설),"8,436.12 ㎡","19,771,704,445 원","2,343,696 원/㎡","고강도콘크리트 말뚝공사, 연료전지, 태양광패널 반영"
김포제조융합혁신센터 건립공사,철근콘크리트조 지하 1층~지상 7층.,"8,692.8㎡","6,120.2㎡","1,970.65㎡","1,151.92㎡",32.2%,118.91%,3.8m,32.5m,96대,경기도 김포시,2021.08,착공일로부터 570 일,"업무시설(공공업무시설), 문화집회시설(전시장), 근린생활시설","8,692.8 ㎡","22,250,760,562 원","2,559,677 원/㎡",
이천시보건소 신축 건축공사,철근콘크리트조 지하 1층~지상 3층.,"6,977.87㎡","16,402.7㎡","2,046.02㎡","1,436.75㎡",12.47%,34.19%,2.7m,14.8m,105대,경기도 이천시,2021.07,착공일로부터 540 일,공공업무시설,"6,977.87 ㎡","19,223,419,969 원","2,754,912 원/㎡",
건강보험심사평가원 의정부지원 사옥 건립공사,철근콘크리트조 지하 1층~지상 5층.,"5,843.81㎡","3,009.9㎡","1,448.04㎡",597.75㎡,48.11%,125.72%,3.9m,21.5m,48대,경기도 의정부시,2021.07,착공일로부터 558 일,업무시설,"5,843.81 ㎡","13,023,975,994 원","2,228,679 원/㎡",
대곶문화복지센터 건립공사,철근콘크리트조 지하 2층~지상 3층.,"5,900.58㎡","4,528㎡","1,194.59㎡",925.71㎡,26.38%,60.84%,4.8m,17.98m,76대,경기도 김포시,2021.06,착공일로부터 548 일,업무시설(행정복합청사),"5,900.58 ㎡","16,085,329,343 원","2,726,059 원/㎡",기존건물 철거후 증축
구의2동 복합청사 건립공사,철근콘크리트조 지하 3층~지상 5층.,"6,139.26㎡","1,506.7㎡",897.61㎡,315.71㎡,59.57%,199.99%,3.95m,5.25m,83대,서울특별시 광진구,2021.06,착공일로부터 760 일,"업무시설,근린생활시설","6,139.26 ㎡","21,232,607,164 원","3,458,496 원/㎡",
미양면사무소 건립공사,철근콘크리트조 지하 1층~지상 4층.,"2,516.03㎡","2,134㎡",753.47㎡,366.94㎡,35.31%,107%,4.1m,17.6m,0대,경기도 안성시,2021.04,착공일로부터 425 일,업무시설(공용의청사-면사무소),"2,516.03 ㎡","6,778,129,921 원","2,693,978 원/㎡",
점동면 공공청사 복합건립사업 건축공사,철근콘크리트조 지하 1층~지상 3층.,"4,566.71㎡","4,731.2㎡","1,941.47㎡",557.98㎡,41.04%,87.25%,3.9m,15.95m,55대,경기도 여주시,2021.04,착공일로부터 546 일,업무시설,"4,566.71 ㎡","14,474,081,046 원","3,169,477 원/㎡","공공업무시설(행정동), 1종근린생활시설(문화동)이 2개의 별동으로 구분됨."
천연물제제 시생산시설 구축공사,철근콘크리트조 지하 0층~지상 2층.,"3,099.24㎡","21,474.5㎡","2,098.08㎡",0㎡,9.77%,14.43%,6m,11.2m,0대,충청북도 제천시,2021.04,착공일로부터 240 일,공장,"3,099.24 ㎡","5,551,652,054 원","1,791,295 원/㎡",없음
신용보증재단중앙회 사옥 건립공사,철근콘크리트조 지하 2층~지상 8층.,"12,785.08㎡","3,634㎡","1,800.8㎡",826.76㎡,49.55%,241.93%,0m,41.3m,95대,세종특별자치시,2021.03,착공일로부터 579 일,"업무시설(일반업무시설), 교육연구시설(연수원)","12,785.08 ㎡","29,708,918,915 원","2,323,718 원/㎡",
동래세무서 청사 신축공사,철근콘크리트조 지하 1층~지상 5층.,"5,341.57㎡","6,604.3㎡",934.27㎡,"1,193㎡",14.15%,66.58%,3.9m,23.5m,100대,부산광역시 연제구,2021.02,착공일로부터 540 일,업무시설,"5,341.57 ㎡","15,719,337,862 원","2,942,831 원/㎡",
춘천교육지원청 청사 이전 신축공사,철근콘크리트조 지하 1층~지상 3층.,"6,982.2㎡","15,368.3㎡","2,317.09㎡","4,266.01㎡",15.08%,38.45%,4.2m,16m,150대,강원도 춘천시,2020.12,착공일로부터 540 일,업무시설(공공업무시설),"6,982.2 ㎡","18,715,291,222 원","2,680,429 원/㎡",
마산동 행정복지센터 신축공사,철근콘크리트조 지하 1층~지상 3층.,"3,689.97㎡","1,998.6㎡",823.63㎡,418.96㎡,41.21%,110.26%,3.9m,13.6m,50대,경기도 김포시,2020.11,착공일로부터 396 일,공공업무시설,"3,689.97 ㎡","9,730,183,785 원","2,636,928 원/㎡",
TBN 충북교통방송 청사 신축공사 건축공사,철근콘크리트조 지하 1층~지상 3층.,"3,142.22㎡","6,611㎡","1,250.82㎡","2,266.07㎡",18.92%,39.79%,5.4m,26.75m,39대,충청북도 청주시 청원구,2020.11,착공일로부터 360 일,국방송통신시설 중 방송,"3,142.22 ㎡","10,814,282,083 원","3,441,606 원/㎡",없음
